	beleef/verb	opdracht/noun	verhouding/noun	rook/noun	speler/noun	wieler_sport/noun	vorm/verb	selecteer/verb	soms/adv	ben/verb	spier_pijn/noun	Hilversums/adj	behoorlijk/adj	heb/verb	dring_binnen/verb	buurt/noun	oppervlak/noun	discipline/noun	provincie_raad_lid/noun	stress/noun	vind/verb	list/noun	golfplaat/noun	smerig/adj	sterk/verb	zwem/verb	gewoon/adj	angst/noun	overigens/adv	pijn/noun	zo/adv	vooral/adv	dag/noun	nauwelijks/adv	oorlog_ervaring/noun	minder/adj	voeg_toe/verb	werkelijk/adv	hitte/noun	meer/adv	hier/adv	systeem/noun	sla/verb	zeg/verb	ga_door/verb	vuiligheid/noun	lucht/noun	laag/adj	duur/adv	jeugd/noun	snel/adj	stank/noun	fiets/noun	stel_uit/verb	alleen/adv	blijkbaar/adj	sociaal/adj	haast/adv	student/noun	verdriet/noun	moet/verb	zeer/adv	jarenlang/adj	buiten/adv	mentaal/adj	week/adj	maar/adv	draai/verb	simpelweg/adv	thuis/adv	kan/verb	eerst/adv	fiets/verb	verlokking/noun	er/adv	vooruitzicht/noun	eigenlijk/adj	wellicht/adv	bezoeker/noun	huid/noun	niet/adv	vervolg/noun	dan/adv	eenmaal/noun	luid/verb	gevormd/adj	verspreid/verb	nog/adv	werk/noun	moreel/adj	waterput/noun	rest/verb	zaak/noun	meestal/adv	wenk/verb	duik_op/verb	slijp/verb	reuk/noun	daar/adv	werk_omstandigheid/noun	overlast/noun	geur/noun	wijs_uit/verb	even/adj	verschrikkelijk/adj	2001/noun	in_activiteit/noun	minstens/adv	teen/noun	kern/noun	schaar/verb	kaas/noun	operatie/noun	inmiddels/adv	beetje/noun	evengoed/adv	weer/noun	betref/verb	makkelijk/adj	verleden/noun	bijna/adv	vrolijk/adj	wel/adv	vaak/adj	zeeman/noun	professioneel/adj	karakter/noun	droog/verb	toch/adv	train/verb	Koreaan/noun	gips/noun	geheel/noun	strijd/noun	rijp/verb	omtrek/noun	katalysator/noun	helemaal/adv	pupil/noun	net/adv	blijk/verb	maand/noun	extern/adj	weer/adv	moeilijk/adj	extreem/adj	beslotenheid/noun	louter/adj	alleen/adj	intussen/adv	anders/adj	monotoon/adj	sprong/noun	echt/adv	verander/verb	fit/adj	voldoende/adj	verkeer/noun	water/noun	amper/adv	daglicht/noun	kind/noun	afloop/noun	leven/noun	langer/adv	bloem/noun	ziel/noun	stilte/noun	week/noun	leeftijd/noun	sloop/adj	concurrentie/noun	toerist/noun	huid_ziekte/noun	val/verb	coach/noun
zaak/noun	0.87399507	0.7969462	0.74132764	0.7845999	0.8045815	0.73345506	0.79195905	0.770477	0.79961056	0.69692874	0.81137174	0.89503556	0.7733984	0.8620842	0.8595948	0.88318294	0.8582592	0.86702156	0.9558809	0.95534414	0.8118604	0.71443117	0.9864205	0.7669964	0.9126691	0.85869765	0.80142593	0.88098526	0.75743794	0.96302754	0.7647083	0.8119568	0.8885193	0.86506593	0.9336752	0.8831356	0.7677735	0.84314835	0.94453406	0.91238296	0.743075	0.53391445	0.9124283	0.8848269	0.8128139	0.9117418	0.79719245	0.8214075	0.90239847	0.8791573	0.8833674	0.85373104	0.87377274	0.8354592	0.82406265	0.79687893	0.8260745	0.80476665	0.9099759	0.88102543	0.7556869	0.76526535	0.868875	0.8338655	0.88573146	0.90504074	0.8005005	0.78953177	0.70639724	0.81994444	0.7883904	0.84119034	0.9188695	0.8747277	0.8269159	0.9546871	0.70267725	0.72119635	0.9113709	0.8950859	0.81508785	0.72781765	0.8167989	0.87367344	0.9271269	0.8137244	0.8302442	0.8793291	0.63465	0.73105717	0.9378846	0.90995556	0.0	0.687392	0.9463093	0.90961957	0.832004	0.84009933	0.7732085	0.82752216	0.91194946	0.79088575	0.75992167	0.69617975	0.8608308	0.8452335	0.8404381	0.8448876	0.88353795	0.83876044	0.9026003	0.9388792	0.66728425	0.7699846	0.8292972	0.8640562	0.78349316	0.7959984	0.87437296	0.8703761	0.919258	0.92166406	0.8247696	0.75797004	0.89141625	0.76466066	0.6801707	0.89868546	0.82826054	0.86797285	0.93076235	0.8257017	0.89024913	0.84095	0.9153539	0.9362269	0.6959933	0.77152073	0.9210252	0.8337144	0.84869033	0.86441725	0.84438366	0.74929357	0.8656625	0.9184282	0.92604434	0.77843904	0.7203864	0.78029203	0.850583	0.9175059	0.9460355	0.8334953	0.83018875	0.79505444	0.81578743	0.87259626	0.84339225	0.91171765	0.8051132	0.9521192	0.97320575	0.71380985	0.67040706	0.97124976	0.89043397	0.96036774	0.8432146	0.8974481	0.9332085	0.85848546	0.9362962	0.9446799	0.8832772	0.89489263
meestal/adv	0.74745643	0.83229697	0.81626064	0.86639583	0.8625729	0.8275283	0.8229092	0.77769303	0.46585774	0.5991132	0.71545184	0.8434391	0.54392886	0.7432162	0.84632665	0.84390885	0.7560487	0.7613737	0.9107347	0.7696746	0.69297045	0.8031535	0.92582595	0.690095	0.8446563	0.6875529	0.58181417	0.73872	0.6799417	0.7131119	0.72680587	0.567577	0.71180475	0.7201891	0.878437	0.63770795	0.791481	0.79831815	0.8176056	0.8547529	0.51367486	0.80180275	0.80709636	0.83803785	0.7025579	0.8603713	0.7832831	0.68121195	0.74569106	0.8211161	0.7354082	0.7706636	0.61764544	0.8485905	0.5964234	0.57715636	0.8341788	0.66415256	0.72079223	0.65916646	0.66111743	0.5746012	0.7918266	0.709456	0.7112893	0.8575477	0.6934177	0.6709809	0.75773525	0.6327319	0.6429409	0.7431086	0.58296496	0.7456986	0.67539585	0.78506374	0.6943182	0.68479896	0.80101013	0.84679496	0.75098443	0.8049257	0.6761544	0.62962884	0.9034996	0.7534746	0.8299718	0.73611784	0.65719694	0.8639666	0.8881047	0.7755455	0.687392	0.0	0.81002665	0.6425372	0.8487783	0.9056977	0.6603776	0.693358	0.81479985	0.7957962	0.86142683	0.57643473	0.6958475	0.87676233	0.8916856	0.88502747	0.7897823	0.9007791	0.94082373	0.79358333	0.84361476	0.7660423	0.57333446	0.61556494	0.63841724	0.711335	0.6244594	0.7728052	0.69053876	0.63501626	0.63258004	0.42943937	0.7535462	0.72347474	0.6498245	0.6629443	0.6997004	0.65116966	0.67784905	0.8593691	0.70593727	0.94988453	0.7242781	0.8113627	0.75134194	0.71829104	0.88958555	0.75961244	0.6935848	0.9094778	0.7649442	0.6297275	0.70311964	0.5993251	0.84208477	0.7192687	0.601055	0.7330549	0.7833032	0.7363533	0.80835694	0.75741136	0.8044543	0.7630841	0.78966546	0.7783147	0.70244837	0.7369524	0.7797876	0.608932	0.6874104	0.68739057	0.7474801	0.7748021	0.77766603	0.787069	0.8506111	0.69459033	0.7856875	0.71294904	0.67946124	0.8866663	0.8014996	0.8927946
wenk/verb	0.8410891	0.77403206	0.95950294	0.85178995	0.87708557	0.9796352	0.9289867	0.9120924	0.86520314	0.8483583	0.9565345	0.8936509	0.9263184	0.840539	0.92395717	0.9498324	0.92123705	0.921191	0.8956452	0.950547	0.9603137	0.8466153	0.9074394	0.87277865	0.8282314	0.8789715	0.7025477	0.8539091	0.9918315	0.8441006	0.89226544	0.87549955	0.8150684	0.9068452	0.9996759	0.82894677	0.9695858	0.9064855	0.8575711	0.8417214	0.78453326	0.99363077	0.8682844	0.89118445	0.7442257	0.88292634	0.89553154	0.96030635	0.89130884	0.9670359	0.86679405	0.8866886	0.88347715	0.73480725	0.91379255	0.9229943	0.9407336	0.807353	0.8938489	0.8903402	0.7742634	0.914037	0.90933913	0.83662146	0.94403243	0.8322871	0.8491001	0.8593822	0.88001895	0.90254205	0.7867389	0.8487654	0.8602591	0.8442361	0.80722255	0.8604891	0.97908133	0.84828824	0.7391423	0.9055167	0.8865687	0.8759241	0.795882	0.8636299	0.8123678	0.9062613	0.9527922	0.8662298	0.87626535	0.9642368	0.8838749	0.8851634	0.9463093	0.81002665	0.0	0.7778573	0.82293487	0.9979829	0.82198596	0.9158024	0.8583235	0.91568154	0.8746449	0.69903755	0.9631028	0.8561211	0.8370631	0.8827684	0.9454803	0.85940975	0.87019986	0.98852944	0.8291074	0.9405055	0.897775	0.85510993	0.7310761	0.90187037	0.79082716	0.9962796	0.82374	0.66348726	0.78148043	0.9064726	0.82632136	0.8692156	0.85803205	0.85138726	0.80809736	0.828816	0.9202465	0.85918796	0.9216529	0.9101599	0.8344881	0.9065172	0.93879455	0.905223	0.84409153	0.9245606	0.9057936	0.91386193	0.84028864	0.77972984	0.85073	0.96510017	0.7830397	0.86971045	0.87256837	0.84116155	0.7853074	0.83871233	0.9459984	0.9448518	0.8735737	0.8360408	0.9233763	0.915466	0.9368242	0.85887927	0.9228545	0.89563614	0.7973217	0.9243111	0.9075473	0.9083886	0.86820084	0.70167637	0.9308608	0.9810008	0.87890655	0.8892293	0.8476089	0.92776346	0.7990852	0.93091595
duik_op/verb	0.7536425	0.9520667	0.9144962	0.8061756	0.93454826	0.9053071	0.83442694	0.9018853	0.6578932	0.6244644	0.8590745	0.9063674	0.7217574	0.71489656	0.8090637	0.7812745	0.8209529	0.9304739	0.9384551	0.77131236	0.85117257	0.9370501	0.8994851	0.69303983	0.9592644	0.7862763	0.6926382	0.747975	0.84923863	0.8034055	0.7596757	0.83654535	0.7687782	0.7495562	0.90977544	0.7165285	0.88658005	0.90434915	0.84288645	0.8848226	0.6511247	0.92412853	0.84090036	0.9487951	0.74856305	0.77917075	0.78294444	0.910946	0.7534039	0.8842387	0.71997553	0.7613264	0.7888049	0.68661064	0.8472475	0.7611176	0.9070446	0.7299094	0.748652	0.8003151	0.73954463	0.78897536	0.8514877	0.6663845	0.8433953	0.82238764	0.71234596	0.6483281	0.80924237	0.547243	0.7462051	0.7958666	0.68553865	0.8089113	0.73678	0.8295448	0.8133453	0.7732439	0.86954606	0.816983	0.82184124	0.8890907	0.5832443	0.75226194	0.95091593	0.8064623	0.7890662	0.69171536	0.71784884	0.9188049	0.91018134	0.78669405	0.90961957	0.6425372	0.7778573	0.0	0.8638029	0.91516215	0.67194295	0.8179847	0.7923281	0.82783926	0.75746655	0.67707753	0.71370685	0.87365997	0.7778259	0.704419	0.7942672	0.91514766	0.8262304	0.87625927	0.90049624	0.7556566	0.6743501	0.86857647	0.7255014	0.7688843	0.7604893	0.6989554	0.6957934	0.6475581	0.55767196	0.7192615	0.7725173	0.84224033	0.7333334	0.75745654	0.71212256	0.6994478	0.91239	0.7981244	0.81186205	0.90156984	0.80531895	0.82218266	0.74805427	0.7036427	0.88006717	0.828092	0.6030457	0.90116525	0.77290946	0.7267205	0.81721866	0.74552745	0.87077427	0.78698385	0.8078171	0.75630057	0.76300585	0.8078685	0.86649024	0.7570031	0.7060618	0.797475	0.8386356	0.7163068	0.79571944	0.75126606	0.8074046	0.78380096	0.82131684	0.7883613	0.85897315	0.83474797	0.861161	0.745082	0.8745911	0.89788604	0.7925535	0.8729193	0.73318195	0.9372525	0.7886386	0.944159
slijp/verb	0.9106915	0.90536237	0.8256716	0.9071928	0.8952954	0.9478453	0.86365765	0.93088484	0.8423133	0.85442454	0.93160355	0.8700788	0.8582393	0.82868975	0.78146255	0.9269392	0.7580616	0.86382073	0.95953107	0.69759345	0.96163934	0.8143594	0.87402976	0.9156892	0.8014217	0.89893836	0.8631383	0.86382693	0.9482008	0.8316659	0.8270849	0.83637303	0.8514547	0.85847086	0.88395095	0.8556058	0.88638866	0.9703445	0.81747097	0.9033014	0.86026174	0.8373748	0.881091	0.97966856	0.8988351	0.9359424	0.82357866	0.9310481	0.869599	0.9463999	0.85731	0.8995202	0.7622599	0.75399816	0.90903354	0.8668195	0.9196174	0.7434415	0.8637154	0.88873345	0.7441872	0.91865057	0.73408705	0.85683566	0.76057667	0.7707073	0.86325586	0.7013291	0.9137582	0.7625676	0.83821446	0.67989457	0.8654493	0.93592733	0.8530557	0.9768493	0.8931172	0.873271	0.89185464	0.8173087	0.94198215	0.975946	0.7988693	0.7588793	0.8323328	0.7261613	0.87218386	0.86683565	0.8038535	0.8901354	0.9777396	0.89099175	0.832004	0.8487783	0.82293487	0.8638029	0.0	0.9545118	0.83791757	0.8977051	0.932455	0.85673267	0.90890086	0.73311937	0.9417107	0.9278945	0.86783224	0.81843996	0.84293145	0.9505092	0.5440646	0.9847694	0.89481735	0.7932801	0.8050353	0.8464329	0.8927684	0.9514555	0.85208297	0.9804791	0.8387239	0.9096642	0.84735286	0.84033686	0.9237907	0.88259363	0.92891455	0.9287467	0.8677408	0.8184172	0.91184294	0.96169454	0.94905275	0.7223371	0.83049184	0.68596303	0.9162585	0.8719952	0.8982213	0.8561933	0.86013407	0.88560194	0.9403427	0.76270103	0.91442806	0.85163915	0.9618931	0.84932464	0.8807132	0.8755954	0.8739611	0.8613584	0.8837379	0.9542452	0.8002391	0.8972286	0.8830172	0.9187498	0.79361904	0.86980134	0.79933786	0.83310217	0.96066034	0.85070616	0.89212596	0.88272536	0.6770091	0.684242	0.86797607	0.9295271	0.8104358	0.93017966	0.9520093	0.9136634	0.85793656	0.8986044
reuk/noun	0.9553303	0.93606573	0.91476846	0.5743537	0.9262787	0.86623514	0.9143359	0.9280987	0.73740757	0.7665314	0.90538424	0.8748836	0.78703487	0.7189435	0.716728	0.7524677	0.79881513	0.8464049	0.9714221	0.88305074	0.81987983	0.90486974	0.9667212	0.59063995	0.90212077	0.83481157	0.82765114	0.7871742	0.8812597	0.9104864	0.8401831	0.8844458	0.9641735	0.94240135	0.85194457	0.9413522	0.87721586	0.8477683	0.755258	0.862607	0.87382746	0.76186585	0.8176043	0.97809905	0.930917	0.9481872	0.6057409	0.90941	0.92897713	0.8814509	0.7675719	0.57463837	0.82334805	0.92623186	0.8897786	0.90569335	0.87094116	0.85395485	0.9444786	0.9013621	0.8561851	0.800461	0.96572953	0.73318726	0.96324486	0.81856936	0.93329936	0.86590326	0.906127	0.9703467	0.8717884	0.8938091	0.84268606	0.9666359	0.76324624	0.9682751	0.89695287	0.8885597	0.94121873	0.86882526	0.8936305	0.83808684	0.94267154	0.90070283	0.910069	0.8588799	0.59862685	0.95697874	0.83798265	0.89491576	0.8814434	0.91126823	0.84009933	0.9056977	0.9979829	0.91516215	0.9545118	0.0	0.87947106	0.9201819	0.79465103	0.50310385	0.85177195	0.92413104	0.73940647	0.97189444	0.9133549	0.9986617	0.8607305	0.94731253	0.95419353	0.8344079	0.86158586	0.84972584	0.8056587	0.8926343	0.8258082	0.9115132	0.9060726	0.8178967	0.9242346	0.88162696	0.90294534	0.7916756	0.71793985	0.89176804	0.8634076	0.9339982	0.93906605	0.9260634	0.8500436	0.8659521	0.90306616	0.84859216	0.9371433	0.8649504	0.7619726	0.8830834	0.89412034	0.89797187	0.84979117	0.98875916	0.8889719	0.88944924	0.92882484	0.80767345	0.78750587	0.87938225	0.8636544	0.8391766	0.83303297	0.903459	0.8119058	0.91739774	0.79922664	0.9224492	0.87807745	0.9570723	0.663817	0.9788155	0.95049846	0.9132999	0.9623872	0.9446157	0.87223935	0.81002444	0.77741563	0.8501397	0.95073795	0.92543495	0.93562514	0.86414766	0.9486423	0.9725154	0.90315396	0.98550963
daar/adv	0.7070443	0.8822889	0.9267749	0.79443294	0.8587911	0.8589661	0.8323569	0.9341589	0.6562562	0.62633264	0.77896506	0.76914585	0.7479615	0.7447256	0.8574156	0.6420812	0.83373976	0.8463098	0.96401757	0.8430624	0.60649836	0.8168709	0.7980288	0.7578643	0.899191	0.6086705	0.568375	0.87787366	0.7689744	0.80777395	0.660794	0.7985704	0.70524055	0.6588881	0.8707768	0.7405754	0.88100994	0.8030022	0.69702756	0.6913763	0.49521846	0.8063534	0.66287833	0.85134023	0.80245185	0.75853467	0.69297147	0.8768238	0.79133356	0.6896926	0.6200749	0.67457837	0.6859451	0.8965657	0.7250076	0.67212796	0.90489495	0.7752333	0.7796459	0.8618555	0.6795447	0.8521631	0.8742307	0.6311543	0.8442607	0.80291116	0.67082745	0.6454177	0.8160359	0.59313285	0.5471338	0.6369641	0.60572386	0.822881	0.5258335	0.8683939	0.577221	0.67699903	0.75771797	0.80484784	0.67234015	0.9154488	0.512484	0.61417514	0.93051565	0.7641834	0.8839933	0.65814316	0.74417937	0.91186315	0.7406154	0.7067764	0.7732085	0.6603776	0.82198596	0.67194295	0.83791757	0.87947106	0.0	0.8305266	0.81137544	0.8161752	0.80044466	0.64644396	0.78264594	0.8862314	0.8957686	0.7703529	0.79309756	0.900472	0.8919157	0.7793068	0.9103414	0.78905284	0.6684495	0.83028436	0.6331186	0.6773897	0.63270915	0.8226511	0.8685479	0.7025685	0.64038557	0.6500298	0.8050644	0.82994616	0.85694754	0.71086	0.54973674	0.6925068	0.86404276	0.81998885	0.78088987	0.9004819	0.7879628	0.82928175	0.8075339	0.71776295	0.9061329	0.73278093	0.7710547	0.8535315	0.9106317	0.6024293	0.64026505	0.8569913	0.862592	0.7893493	0.60693896	0.71839607	0.55631393	0.779437	0.8223227	0.69598675	0.78281707	0.7740492	0.7010373	0.72379553	0.59776783	0.76024115	0.78303236	0.6895976	0.8084255	0.713503	0.7408072	0.81470525	0.86838406	0.75019246	0.8056066	0.8994016	0.9034544	0.815009	0.55002797	0.91718096	0.6438293	0.89539427
werk_omstandigheid/noun	0.79471636	0.74897915	0.80081666	0.85946393	0.6423837	0.8038536	0.88709503	0.70114005	0.6134022	0.60023284	0.73728794	0.9073707	0.619254	0.8182996	0.91890514	0.91109854	0.93289834	0.6980099	0.9097237	0.5960419	0.7485951	0.9460875	0.9803633	0.768276	0.89592505	0.80648714	0.82598484	0.8260602	0.78730524	0.74594057	0.8082283	0.6984132	0.72173125	0.6485537	0.8352927	0.5682516	0.9287551	0.8901944	0.7435049	0.83855045	0.7890579	0.7525562	0.8209009	0.87389386	0.95858616	0.94747144	0.89468414	0.7328137	0.7632359	0.7771033	0.8339059	0.8305334	0.8935667	0.9448776	0.846074	0.6990364	0.74324495	0.7113597	0.77279437	0.7732716	0.8223249	0.65528727	0.7835759	0.88207716	0.61507595	0.929136	0.84497803	0.8133024	0.7266453	0.7648265	0.7364447	0.8851435	0.8204425	0.898024	0.77475643	0.6347791	0.8741283	0.6613368	0.88220733	0.9727868	0.8191279	0.95598525	0.8225973	0.794846	0.9789467	0.891539	0.8834204	0.8051734	0.6352223	0.75245786	0.9305212	0.7652122	0.82752216	0.693358	0.9158024	0.8179847	0.8977051	0.9201819	0.8305266	0.0	0.8804549	0.90400374	0.9029508	0.8769531	0.77109885	0.8082522	0.7502183	0.93370974	0.8558251	0.6998664	0.9806469	0.9745927	0.88898355	0.9129451	0.83915985	0.8011616	0.7659198	0.7834852	0.82409495	0.7586731	0.858129	0.84830475	0.8086873	0.5481502	0.5805274	0.7035999	0.7667457	0.9501721	0.7694192	0.536585	0.8608248	0.84062755	0.87346065	0.7999198	0.9216914	0.97820824	0.9128971	0.8182128	0.8457513	0.84113497	0.70990545	0.8011774	0.8979479	0.80489624	0.6634152	0.7708045	0.96807075	0.78170896	0.7841766	0.83507055	0.8484286	0.6970544	0.8812649	0.8521482	0.7886691	0.65056133	0.7075808	0.8394591	0.8795825	0.76529896	0.9259626	0.820709	0.83660793	0.7334162	0.7463541	0.94027174	0.8623441	0.9156107	0.75278455	0.7721276	0.6306014	0.71022016	0.80241257	0.90671146	0.83113414	0.76530373
overlast/noun	0.8559246	0.97658986	0.88731503	0.67302656	0.92904973	0.923942	0.8854424	0.93443954	0.7063925	0.80083406	0.7869072	0.84672254	0.7676693	0.8372531	0.8259473	0.36595994	0.8555136	0.90196294	0.96363586	0.69287175	0.87351424	0.9670229	0.8113376	0.636214	0.88696325	0.88005286	0.8684578	0.8224491	0.87423253	0.8574543	0.88525295	0.6612182	0.93716186	0.8003424	0.8516911	0.6335778	0.9382851	0.87872446	0.6251199	0.8711716	0.6561488	0.8523357	0.84480405	0.97821015	0.92272377	0.60392284	0.72722334	0.77298963	0.8638863	0.76775646	0.827545	0.48519748	0.8363041	0.95114005	0.81589514	0.8134515	0.7414104	0.896015	0.7739193	0.859463	0.8293299	0.86963594	0.82327807	0.7669666	0.92108613	0.93515587	0.8623816	0.7574356	0.8589203	0.9471563	0.8714658	0.84942174	0.8245787	0.8256295	0.70355654	0.9532689	0.9255344	0.8716141	0.7664788	0.9251842	0.8901729	0.89301986	0.93099946	0.92463577	0.83370256	0.9068086	0.67837113	0.9087685	0.81415075	0.9100618	0.8456421	0.7805282	0.91194946	0.81479985	0.8583235	0.7923281	0.932455	0.79465103	0.81137544	0.8804549	0.0	0.6969075	0.7963506	0.9561238	0.7605599	0.96670836	0.88676524	0.9391867	0.8671767	0.9402968	0.9447608	0.8981654	0.94119143	0.8902132	0.9025702	0.8282688	0.64168346	0.85708356	0.88781065	0.81485474	0.91836524	0.91522807	0.89848346	0.7573372	0.8161974	0.93100274	0.84813917	0.8954679	0.8774157	0.8687099	0.9510412	0.94678795	0.94965476	0.7299157	0.9125935	0.9275485	0.66901726	0.9603072	0.95751494	0.9492257	0.8281143	0.9550129	0.76767445	0.9284087	0.85420394	0.7025635	0.92024815	0.9446407	0.87042403	0.806136	0.89121443	0.83747905	0.8594297	0.7870939	0.86414385	0.9479578	0.9109726	0.45111436	0.7688104	0.87753695	0.9502139	0.82131916	0.9472227	0.9303088	0.8051226	0.9117166	0.9073734	0.88687265	0.96192646	0.9416561	0.90264964	0.82753605	0.64618015	0.9198865	0.90808904	0.9674663
geur/noun	0.9064787	0.9520712	0.907593	0.24196136	0.9514361	0.95844793	0.85645574	0.9215923	0.7103102	0.8158861	0.8869432	0.8215073	0.8031614	0.84718865	0.5773842	0.7093895	0.657364	0.93375653	0.9909455	0.796598	0.8104842	0.8259953	0.7869712	0.40791595	0.8856255	0.8046446	0.868661	0.6750927	0.935415	0.8608063	0.84350055	0.8539473	0.89802057	0.8867482	0.88816595	0.8801449	0.6913047	0.91686386	0.52215755	0.87958014	0.79275274	0.78413534	0.69379425	0.9545885	0.97090864	0.72683465	0.40177262	0.8900929	0.8114871	0.8651377	0.7634069	0.34784114	0.9116375	0.98268074	0.81851435	0.88523674	0.9736471	0.78444433	0.9374151	0.8391567	0.9276509	0.7521649	0.83778566	0.61987185	0.945858	0.7909369	0.8638124	0.8698935	0.7082845	0.9264266	0.85589635	0.8412832	0.8935744	0.9547373	0.7517273	0.9129096	0.85528827	0.8707067	0.8782121	0.7270614	0.8955889	0.71654725	0.88852465	0.77990454	0.98222435	0.710352	0.3018003	0.9019602	0.9033048	0.9394643	0.8920746	0.81794655	0.79088575	0.7957962	0.91568154	0.82783926	0.85673267	0.50310385	0.8161752	0.90400374	0.6969075	0.0	0.6979505	0.8784587	0.6437753	0.98582643	0.97537243	0.9223008	0.73959064	0.94835204	0.87910557	0.6171585	0.9683416	0.79097956	0.78187805	0.77124655	0.7834045	0.9363153	0.8533866	0.7816034	0.86475456	0.85945076	0.944076	0.89020216	0.81026053	0.9450102	0.76403123	0.7230856	0.927916	0.9169258	0.95352036	0.8885051	0.8806825	0.8924713	0.82590055	0.63676053	0.7355889	0.84488565	0.9624316	0.8187256	0.8234674	0.9747294	0.8216091	0.9218728	0.8865095	0.73751485	0.9551618	0.85568905	0.8548273	0.8243202	0.9041708	0.83254755	0.8599105	0.7664919	0.8608741	0.9362999	0.8832928	0.88288903	0.50782037	0.8638631	0.8349397	0.9189193	0.8536155	0.9020654	0.92137414	0.5267346	0.73358333	0.7215526	0.9472012	0.95210505	0.8841438	0.95287526	0.88446903	0.9169614	0.8321239	0.97242373
wijs_uit/verb	0.8502038	0.85669875	0.88749874	0.73742956	0.82935095	0.91945815	0.9065129	0.78231746	0.8340936	0.72016287	0.9397427	0.92358136	0.7288905	0.7538725	0.89403766	0.74531925	0.9340219	0.86169934	0.9215177	0.7768128	0.8506514	0.9729392	0.9952879	0.7310231	0.91358703	0.76307195	0.8722615	0.74866354	0.94340134	0.8883382	0.8895062	0.8374113	0.8447621	0.7829689	0.864415	0.85344195	0.9082805	0.8802509	0.8083266	0.90496886	0.8234501	0.73593676	0.68127406	0.9449635	0.81456923	0.80128837	0.850277	0.96588784	0.86667705	0.8356934	0.85240895	0.7901827	0.88426095	0.7811898	0.8756622	0.82617885	0.85209435	0.83843863	0.87169325	0.9034649	0.8153901	0.841589	0.69502103	0.922807	0.8519446	0.9063095	0.89055705	0.8708651	0.6462525	0.8810561	0.86764884	0.729052	0.8763807	0.9636342	0.8139405	0.9410533	0.73472655	0.6477442	0.9342831	0.9250035	0.86883605	0.6814002	0.8458784	0.86086214	0.8857642	0.93467665	0.65651727	0.79606986	0.83934164	0.9701009	0.795331	0.7685967	0.75992167	0.86142683	0.8746449	0.75746655	0.90890086	0.85177195	0.80044466	0.9029508	0.7963506	0.6979505	0.0	0.8896166	0.8219812	0.9620355	0.8105242	0.72904384	0.8978127	0.80226314	0.8180091	0.8526857	0.70625997	0.77178085	0.86291313	0.83074194	0.87240064	0.87817204	0.8690315	0.74396527	0.6665143	0.89019257	0.7307119	0.76257545	0.94122833	0.8405341	0.79972935	0.8580569	0.8416387	0.7988296	0.9279267	0.7058566	0.8775179	0.9144802	0.88433814	0.97415185	0.8253403	0.7105981	0.9245313	0.6914619	0.6112885	0.73332566	0.6924961	0.70817256	0.8860802	0.876737	0.896429	0.8026936	0.8822177	0.84461963	0.8846394	0.9827927	0.9118136	0.7966571	0.76901716	0.764535	0.7118541	0.799852	0.77840817	0.78432536	0.8974815	0.8986546	0.93578786	0.9305496	0.8613557	0.90626115	0.90425193	0.87686473	0.7911271	0.9304297	0.8998511	0.84668237	0.8315809	0.9491035	0.9029431	0.9279047
even/adj	0.74773026	0.75842804	0.93891734	0.8556282	0.82791877	0.8798427	0.92014605	0.93918025	0.59908485	0.6943824	0.8438324	0.86070997	0.7041744	0.8523811	0.84930223	0.89337796	0.8335146	0.8472264	0.9682594	0.825631	0.77907884	0.8803503	0.94960517	0.84093416	0.90657985	0.7433071	0.57027876	0.86079335	0.79347694	0.8092455	0.5204905	0.79047275	0.5878054	0.8029919	0.93131065	0.74020827	0.83886504	0.7937921	0.7888235	0.86306465	0.6683117	0.89700216	0.7805215	0.7583897	0.601952	0.8282764	0.79263616	0.9181919	0.71604323	0.88785154	0.6545118	0.8591271	0.7193498	0.6365749	0.7304431	0.7008953	0.9713946	0.66678274	0.82897395	0.7969221	0.41085774	0.8002682	0.84673995	0.6485662	0.81867456	0.75242287	0.59753966	0.69700253	0.7957803	0.66665083	0.56859154	0.6074347	0.64845896	0.81353223	0.5970417	0.87593925	0.7531075	0.67358017	0.618305	0.8493646	0.7511133	0.8970341	0.41210103	0.6567204	0.9275207	0.7949148	0.85283625	0.62041205	0.62906736	0.8790359	0.9342629	0.78201175	0.69617975	0.57643473	0.69903755	0.67707753	0.73311937	0.92413104	0.64644396	0.8769531	0.9561238	0.8784587	0.8896166	0.0	0.8030425	0.80751634	0.7778702	0.7259307	0.78101325	0.9542819	0.88118136	0.8474022	0.6981313	0.85832787	0.5760005	0.575091	0.6322901	0.92478335	0.698586	0.8775896	0.8162721	0.5869652	0.6090697	0.6657321	0.9128395	0.9045322	0.8016102	0.6217067	0.5318725	0.7445282	0.88083476	0.8245834	0.79692686	0.782729	0.6224853	0.92955756	0.8441236	0.719922	0.9352486	0.7424253	0.7904539	0.65801215	0.92054284	0.5593051	0.7715529	0.8359642	0.8856509	0.904842	0.753296	0.591663	0.69257575	0.74896896	0.84766525	0.7152625	0.8261476	0.8084194	0.8079142	0.82935774	0.7898111	0.8466231	0.9094021	0.7552688	0.82122886	0.67611253	0.7720143	0.8244704	0.8577273	0.6793839	0.6915364	0.9314898	0.78222024	0.86091495	0.7754239	0.9031179	0.6483326	0.9152035
